trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2023-11-27|Bus|Chatswood|0|<50|<50
2023-11-27|Bus|Macquarie Park|0|<50|<50
2023-11-27|Bus|North Sydney|0|<50|<50
2023-11-27|Bus|Other|0|900|1000
2023-11-27|Bus|Parramatta|0|<50|<50
2023-11-27|Bus|Strathfield|0|<50|<50
2023-11-27|Bus|Sydney CBD|0|500|600
2023-11-27|Bus|All - NSW|0|1400|1600
2023-11-27|Bus|Chatswood|1|<50|<50
2023-11-27|Bus|Macquarie Park|1|<50|<50
2023-11-27|Bus|North Sydney|1|<50|<50
2023-11-27|Bus|Other|1|400|400
2023-11-27|Bus|Parramatta|1|<50|<50
2023-11-27|Bus|Strathfield|1|<50|<50
2023-11-27|Bus|Sydney CBD|1|400|400
2023-11-27|Bus|All - NSW|1|800|800
2023-11-27|Bus|Chatswood|2|<50|<50
2023-11-27|Bus|Macquarie Park|2|<50|<50
2023-11-27|Bus|North Sydney|2|<50|<50
2023-11-27|Bus|Other|2|400|400
2023-11-27|Bus|Parramatta|2|<50|<50
2023-11-27|Bus|Strathfield|2|<50|<50
2023-11-27|Bus|Sydney CBD|2|400|400
2023-11-27|Bus|All - NSW|2|800|800
2023-11-27|Bus|Chatswood|3|<50|<50
2023-11-27|Bus|Macquarie Park|3|<50|<50
2023-11-27|Bus|North Sydney|3|<50|<50
2023-11-27|Bus|Other|3|400|400
2023-11-27|Bus|Parramatta|3|<50|<50
2023-11-27|Bus|Strathfield|3|<50|<50
2023-11-27|Bus|Sydney CBD|3|200|300
2023-11-27|Bus|All - NSW|3|600|700
2023-11-27|Bus|Chatswood|4|<50|<50
2023-11-27|Bus|Macquarie Park|4|<50|<50
2023-11-27|Bus|North Sydney|4|<50|<50
2023-11-27|Bus|Other|4|1800|1100
2023-11-27|Bus|Parramatta|4|100|<50
2023-11-27|Bus|Strathfield|4|<50|<50
2023-11-27|Bus|Sydney CBD|4|200|200
2023-11-27|Bus|All - NSW|4|2100|1300
2023-11-27|Bus|Chatswood|5|100|100
2023-11-27|Bus|Macquarie Park|5|100|100
2023-11-27|Bus|Newcastle and surrounds|5|<50|<50
2023-11-27|Bus|North Sydney|5|100|100
2023-11-27|Bus|Other|5|11100|8300
2023-11-27|Bus|Parramatta|5|500|300
2023-11-27|Bus|Strathfield|5|100|100
2023-11-27|Bus|Sydney CBD|5|900|500
2023-11-27|Bus|Wollongong and surrounds|5|<50|<50
2023-11-27|Bus|All - NSW|5|12900|9500
2023-11-27|Bus|Chatswood|6|300|300
2023-11-27|Bus|Macquarie Park|6|200|200
2023-11-27|Bus|Newcastle and surrounds|6|<50|<50
2023-11-27|Bus|North Sydney|6|200|200
2023-11-27|Bus|Other|6|28600|23800
2023-11-27|Bus|Parramatta|6|1100|1000
2023-11-27|Bus|Strathfield|6|400|300
2023-11-27|Bus|Sydney CBD|6|2500|2200
2023-11-27|Bus|Wollongong and surrounds|6|100|100
2023-11-27|Bus|All - NSW|6|33400|28100
2023-11-27|Bus|Chatswood|7|700|400
2023-11-27|Bus|Macquarie Park|7|900|600
2023-11-27|Bus|Newcastle and surrounds|7|100|<50
2023-11-27|Bus|North Sydney|7|400|300
2023-11-27|Bus|Other|7|63200|49200
2023-11-27|Bus|Parramatta|7|1800|1400
2023-11-27|Bus|Strathfield|7|600|600
2023-11-27|Bus|Sydney CBD|7|3000|2700
2023-11-27|Bus|Wollongong and surrounds|7|300|200
2023-11-27|Bus|All - NSW|7|71000|55400
2023-11-27|Bus|Chatswood|8|900|800
2023-11-27|Bus|Macquarie Park|8|1000|1100
2023-11-27|Bus|Newcastle and surrounds|8|100|100
2023-11-27|Bus|North Sydney|8|1000|900
2023-11-27|Bus|Other|8|65500|75300
2023-11-27|Bus|Parramatta|8|1800|1900
2023-11-27|Bus|Strathfield|8|500|500
2023-11-27|Bus|Sydney CBD|8|4200|3900
2023-11-27|Bus|Wollongong and surrounds|8|600|600
2023-11-27|Bus|All - NSW|8|75600|85100
2023-11-27|Bus|Chatswood|9|400|400
2023-11-27|Bus|Macquarie Park|9|300|500
2023-11-27|Bus|Newcastle and surrounds|9|100|100
2023-11-27|Bus|North Sydney|9|400|400
2023-11-27|Bus|Other|9|35100|42600
2023-11-27|Bus|Parramatta|9|900|1000
2023-11-27|Bus|Strathfield|9|400|400
2023-11-27|Bus|Sydney CBD|9|3000|3200
2023-11-27|Bus|Wollongong and surrounds|9|200|200
2023-11-27|Bus|All - NSW|9|40800|48800
2023-11-27|Bus|Chatswood|10|300|300
2023-11-27|Bus|Macquarie Park|10|300|300
2023-11-27|Bus|Newcastle and surrounds|10|100|100
2023-11-27|Bus|North Sydney|10|200|200
2023-11-27|Bus|Other|10|29900|30400
2023-11-27|Bus|Parramatta|10|700|800
2023-11-27|Bus|Strathfield|10|300|200
2023-11-27|Bus|Sydney CBD|10|2400|2200
2023-11-27|Bus|Wollongong and surrounds|10|200|200
2023-11-27|Bus|All - NSW|10|34400|34700
2023-11-27|Bus|Chatswood|11|300|300
2023-11-27|Bus|Macquarie Park|11|400|300
2023-11-27|Bus|Newcastle and surrounds|11|100|100
2023-11-27|Bus|North Sydney|11|200|200
2023-11-27|Bus|Other|11|29000|29400
2023-11-27|Bus|Parramatta|11|800|700
2023-11-27|Bus|Strathfield|11|300|300
2023-11-27|Bus|Sydney CBD|11|2700|2500
2023-11-27|Bus|Wollongong and surrounds|11|200|200
2023-11-27|Bus|All - NSW|11|34000|34000
2023-11-27|Bus|Chatswood|12|400|300
2023-11-27|Bus|Macquarie Park|12|300|300
2023-11-27|Bus|Newcastle and surrounds|12|100|100
2023-11-27|Bus|North Sydney|12|200|200
2023-11-27|Bus|Other|12|30000|29800
2023-11-27|Bus|Parramatta|12|900|800
2023-11-27|Bus|Strathfield|12|300|300
2023-11-27|Bus|Sydney CBD|12|3100|2900
2023-11-27|Bus|Wollongong and surrounds|12|200|200
2023-11-27|Bus|All - NSW|12|35500|34900
2023-11-27|Bus|Chatswood|13|400|400
2023-11-27|Bus|Macquarie Park|13|400|400
2023-11-27|Bus|Newcastle and surrounds|13|100|100
2023-11-27|Bus|North Sydney|13|300|300
