trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2025-06-27|Bus|Chatswood|0|<100|<100
2025-06-27|Bus|Macquarie Park|0|<100|<100
2025-06-27|Bus|Newcastle and surrounds|0|<100|<100
2025-06-27|Bus|North Sydney|0|<100|<100
2025-06-27|Bus|Other|0|500|700
2025-06-27|Bus|Parramatta|0|100|100
2025-06-27|Bus|Strathfield|0|<100|<100
2025-06-27|Bus|Sydney CBD|0|400|600
2025-06-27|Bus|All - NSW|0|1000|1400
2025-06-27|Bus|Chatswood|1|<100|<100
2025-06-27|Bus|Macquarie Park|1|<100|<100
2025-06-27|Bus|North Sydney|1|<100|<100
2025-06-27|Bus|Other|1|200|200
2025-06-27|Bus|Parramatta|1|<100|<100
2025-06-27|Bus|Strathfield|1|<100|<100
2025-06-27|Bus|Sydney CBD|1|200|300
2025-06-27|Bus|All - NSW|1|400|500
2025-06-27|Bus|Chatswood|2|<100|<100
2025-06-27|Bus|Macquarie Park|2|<100|<100
2025-06-27|Bus|Other|2|100|100
2025-06-27|Bus|Parramatta|2|<100|<100
2025-06-27|Bus|Strathfield|2|<100|<100
2025-06-27|Bus|Sydney CBD|2|200|200
2025-06-27|Bus|All - NSW|2|300|300
2025-06-27|Bus|Chatswood|3|<100|<100
2025-06-27|Bus|Macquarie Park|3|<100|<100
2025-06-27|Bus|North Sydney|3|<100|<100
2025-06-27|Bus|Other|3|200|100
2025-06-27|Bus|Parramatta|3|<100|<100
2025-06-27|Bus|Strathfield|3|<100|<100
2025-06-27|Bus|Sydney CBD|3|100|200
2025-06-27|Bus|All - NSW|3|300|300
2025-06-27|Bus|Chatswood|4|<100|<100
2025-06-27|Bus|Macquarie Park|4|<100|<100
2025-06-27|Bus|Other|4|600|400
2025-06-27|Bus|Parramatta|4|<100|<100
2025-06-27|Bus|Strathfield|4|<100|<100
2025-06-27|Bus|Sydney CBD|4|100|100
2025-06-27|Bus|All - NSW|4|700|500
2025-06-27|Bus|Chatswood|5|<100|<100
2025-06-27|Bus|Macquarie Park|5|<100|<100
2025-06-27|Bus|North Sydney|5|<100|<100
2025-06-27|Bus|Other|5|3900|3000
2025-06-27|Bus|Parramatta|5|100|100
2025-06-27|Bus|Strathfield|5|100|<100
2025-06-27|Bus|Sydney CBD|5|300|200
2025-06-27|Bus|Wollongong and surrounds|5|<100|<100
2025-06-27|Bus|All - NSW|5|4400|3300
2025-06-27|Bus|Chatswood|6|100|100
2025-06-27|Bus|Macquarie Park|6|100|100
2025-06-27|Bus|Newcastle and surrounds|6|<100|<100
2025-06-27|Bus|North Sydney|6|100|100
2025-06-27|Bus|Other|6|9900|8700
2025-06-27|Bus|Parramatta|6|300|300
2025-06-27|Bus|Strathfield|6|100|100
2025-06-27|Bus|Sydney CBD|6|900|900
2025-06-27|Bus|Wollongong and surrounds|6|<100|<100
2025-06-27|Bus|All - NSW|6|11500|10300
2025-06-27|Bus|Chatswood|7|200|200
2025-06-27|Bus|Macquarie Park|7|300|200
2025-06-27|Bus|Newcastle and surrounds|7|<100|<100
2025-06-27|Bus|North Sydney|7|100|100
2025-06-27|Bus|Other|7|36800|32800
2025-06-27|Bus|Parramatta|7|400|400
2025-06-27|Bus|Strathfield|7|200|200
2025-06-27|Bus|Sydney CBD|7|1000|900
2025-06-27|Bus|Wollongong and surrounds|7|400|400
2025-06-27|Bus|All - NSW|7|39400|35200
2025-06-27|Bus|Chatswood|8|200|200
2025-06-27|Bus|Macquarie Park|8|300|300
2025-06-27|Bus|Newcastle and surrounds|8|<100|<100
2025-06-27|Bus|North Sydney|8|200|200
2025-06-27|Bus|Other|8|42500|44500
2025-06-27|Bus|Parramatta|8|600|600
2025-06-27|Bus|Strathfield|8|200|200
2025-06-27|Bus|Sydney CBD|8|1500|1500
2025-06-27|Bus|Wollongong and surrounds|8|1000|1000
2025-06-27|Bus|All - NSW|8|46500|48500
2025-06-27|Bus|Chatswood|9|100|100
2025-06-27|Bus|Macquarie Park|9|100|200
2025-06-27|Bus|Newcastle and surrounds|9|<100|<100
2025-06-27|Bus|North Sydney|9|100|100
2025-06-27|Bus|Other|9|12100|14600
2025-06-27|Bus|Parramatta|9|200|300
2025-06-27|Bus|Strathfield|9|100|100
2025-06-27|Bus|Sydney CBD|9|1200|1300
2025-06-27|Bus|Wollongong and surrounds|9|500|500
2025-06-27|Bus|All - NSW|9|14400|17200
2025-06-27|Bus|Chatswood|10|100|100
2025-06-27|Bus|Macquarie Park|10|100|100
2025-06-27|Bus|Newcastle and surrounds|10|<100|<100
2025-06-27|Bus|North Sydney|10|100|100
2025-06-27|Bus|Other|10|9300|9400
