trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2023-06-10|Bus|Chatswood|0|<50|<50
2023-06-10|Bus|Macquarie Park|0|<50|100
2023-06-10|Bus|Newcastle and surrounds|0|<50|<50
2023-06-10|Bus|North Sydney|0|<50|<50
2023-06-10|Bus|Other|0|1800|3800
2023-06-10|Bus|Parramatta|0|100|100
2023-06-10|Bus|Strathfield|0|<50|<50
2023-06-10|Bus|Sydney CBD|0|1500|300
2023-06-10|Bus|All - NSW|0|3400|4300
2023-06-10|Bus|Chatswood|1|<50|<50
2023-06-10|Bus|Macquarie Park|1|<50|<50
2023-06-10|Bus|Newcastle and surrounds|1|<50|<50
2023-06-10|Bus|North Sydney|1|<50|<50
2023-06-10|Bus|Other|1|800|1600
2023-06-10|Bus|Parramatta|1|<50|<50
2023-06-10|Bus|Strathfield|1|<50|<50
2023-06-10|Bus|Sydney CBD|1|1000|200
2023-06-10|Bus|All - NSW|1|1800|1800
2023-06-10|Bus|Chatswood|2|<50|<50
2023-06-10|Bus|Macquarie Park|2|<50|<50
2023-06-10|Bus|Newcastle and surrounds|2|<50|<50
2023-06-10|Bus|North Sydney|2|<50|<50
2023-06-10|Bus|Other|2|600|1400
2023-06-10|Bus|Parramatta|2|<50|<50
2023-06-10|Bus|Strathfield|2|<50|100
2023-06-10|Bus|Sydney CBD|2|1200|300
2023-06-10|Bus|All - NSW|2|1800|1800
2023-06-10|Bus|Chatswood|3|<50|<50
2023-06-10|Bus|Macquarie Park|3|<50|<50
2023-06-10|Bus|North Sydney|3|<50|<50
2023-06-10|Bus|Other|3|500|1100
2023-06-10|Bus|Parramatta|3|<50|<50
2023-06-10|Bus|Strathfield|3|<50|<50
2023-06-10|Bus|Sydney CBD|3|800|200
2023-06-10|Bus|All - NSW|3|1300|1300
2023-06-10|Bus|Chatswood|4|<50|<50
2023-06-10|Bus|Macquarie Park|4|<50|<50
2023-06-10|Bus|North Sydney|4|<50|<50
