trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2021-12-21|Bus|Chatswood|0|<50|<50
2021-12-21|Bus|Macquarie Park|0|<50|<50
2021-12-21|Bus|Newcastle and surrounds|0|<50|<50
2021-12-21|Bus|North Sydney|0|<50|<50
2021-12-21|Bus|Other|0|600|1100
2021-12-21|Bus|Parramatta|0|<50|100
2021-12-21|Bus|Strathfield|0|<50|100
2021-12-21|Bus|Sydney CBD|0|600|200
2021-12-21|Bus|All - NSW|0|1200|1500
2021-12-21|Bus|Chatswood|1|<50|<50
2021-12-21|Bus|Macquarie Park|1|<50|<50
2021-12-21|Bus|North Sydney|1|<50|<50
2021-12-21|Bus|Other|1|200|600
2021-12-21|Bus|Parramatta|1|<50|<50
2021-12-21|Bus|Strathfield|1|<50|<50
2021-12-21|Bus|Sydney CBD|1|300|100
2021-12-21|Bus|All - NSW|1|500|700
2021-12-21|Bus|Chatswood|2|<50|<50
2021-12-21|Bus|Macquarie Park|2|<50|<50
2021-12-21|Bus|North Sydney|2|<50|<50
2021-12-21|Bus|Other|2|200|400
2021-12-21|Bus|Parramatta|2|<50|<50
2021-12-21|Bus|Strathfield|2|<50|<50
2021-12-21|Bus|Sydney CBD|2|200|<50
2021-12-21|Bus|All - NSW|2|400|400
2021-12-21|Bus|Chatswood|3|<50|<50
2021-12-21|Bus|Macquarie Park|3|<50|<50
2021-12-21|Bus|North Sydney|3|<50|<50
2021-12-21|Bus|Other|3|300|300
2021-12-21|Bus|Parramatta|3|<50|<50
2021-12-21|Bus|Strathfield|3|<50|<50
2021-12-21|Bus|Sydney CBD|3|100|100
2021-12-21|Bus|All - NSW|3|400|400
2021-12-21|Bus|Chatswood|4|<50|<50
2021-12-21|Bus|Macquarie Park|4|<50|<50
2021-12-21|Bus|North Sydney|4|<50|<50
2021-12-21|Bus|Other|4|1100|500
2021-12-21|Bus|Parramatta|4|100|<50
2021-12-21|Bus|Strathfield|4|<50|<50
2021-12-21|Bus|Sydney CBD|4|200|200
2021-12-21|Bus|All - NSW|4|1400|700
2021-12-21|Bus|Chatswood|5|100|<50
2021-12-21|Bus|Macquarie Park|5|<50|100
2021-12-21|Bus|Newcastle and surrounds|5|<50|<50
2021-12-21|Bus|North Sydney|5|<50|<50
2021-12-21|Bus|Other|5|6000|3800
2021-12-21|Bus|Parramatta|5|200|200
2021-12-21|Bus|Strathfield|5|100|100
2021-12-21|Bus|Sydney CBD|5|500|900
2021-12-21|Bus|Wollongong and surrounds|5|<50|<50
2021-12-21|Bus|All - NSW|5|6900|5100
2021-12-21|Bus|Chatswood|6|200|100
2021-12-21|Bus|Macquarie Park|6|100|200
2021-12-21|Bus|Newcastle and surrounds|6|<50|<50
2021-12-21|Bus|North Sydney|6|100|100
2021-12-21|Bus|Other|6|14300|11600
2021-12-21|Bus|Parramatta|6|600|500
2021-12-21|Bus|Strathfield|6|200|100
2021-12-21|Bus|Sydney CBD|6|1500|2000
2021-12-21|Bus|Wollongong and surrounds|6|100|100
2021-12-21|Bus|All - NSW|6|17100|14700
2021-12-21|Bus|Chatswood|7|300|300
2021-12-21|Bus|Macquarie Park|7|300|400
2021-12-21|Bus|Newcastle and surrounds|7|<50|<50
2021-12-21|Bus|North Sydney|7|200|200
2021-12-21|Bus|Other|7|23000|17900
2021-12-21|Bus|Parramatta|7|800|800
2021-12-21|Bus|Strathfield|7|300|200
2021-12-21|Bus|Sydney CBD|7|2000|3900
2021-12-21|Bus|Wollongong and surrounds|7|100|100
2021-12-21|Bus|All - NSW|7|27000|23800
2021-12-21|Bus|Chatswood|8|400|400
2021-12-21|Bus|Macquarie Park|8|400|500
2021-12-21|Bus|Newcastle and surrounds|8|<50|100
2021-12-21|Bus|North Sydney|8|200|500
2021-12-21|Bus|Other|8|24800|21800
2021-12-21|Bus|Parramatta|8|700|900
2021-12-21|Bus|Strathfield|8|300|300
