trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2022-02-25|Bus|Chatswood|0|<50|<50
2022-02-25|Bus|Macquarie Park|0|<50|<50
2022-02-25|Bus|Newcastle and surrounds|0|<50|<50
2022-02-25|Bus|North Sydney|0|<50|<50
2022-02-25|Bus|Other|0|700|1300
2022-02-25|Bus|Parramatta|0|<50|<50
2022-02-25|Bus|Strathfield|0|<50|<50
2022-02-25|Bus|Sydney CBD|0|500|200
2022-02-25|Bus|All - NSW|0|1200|1500
2022-02-25|Bus|Chatswood|1|<50|<50
2022-02-25|Bus|Macquarie Park|1|<50|<50
2022-02-25|Bus|North Sydney|1|<50|<50
2022-02-25|Bus|Other|1|300|600
2022-02-25|Bus|Parramatta|1|<50|<50
2022-02-25|Bus|Strathfield|1|<50|<50
2022-02-25|Bus|Sydney CBD|1|400|100
2022-02-25|Bus|All - NSW|1|700|700
2022-02-25|Bus|Chatswood|2|<50|<50
2022-02-25|Bus|Macquarie Park|2|<50|<50
2022-02-25|Bus|North Sydney|2|<50|<50
2022-02-25|Bus|Other|2|300|500
2022-02-25|Bus|Parramatta|2|<50|<50
2022-02-25|Bus|Strathfield|2|<50|<50
2022-02-25|Bus|Sydney CBD|2|400|100
2022-02-25|Bus|All - NSW|2|700|600
2022-02-25|Bus|Chatswood|3|<50|<50
2022-02-25|Bus|Macquarie Park|3|<50|<50
2022-02-25|Bus|North Sydney|3|<50|<50
2022-02-25|Bus|Other|3|300|400
2022-02-25|Bus|Parramatta|3|<50|<50
2022-02-25|Bus|Strathfield|3|<50|<50
2022-02-25|Bus|Sydney CBD|3|300|100
2022-02-25|Bus|All - NSW|3|600|500
2022-02-25|Bus|Chatswood|4|<50|<50
2022-02-25|Bus|Macquarie Park|4|<50|<50
2022-02-25|Bus|North Sydney|4|<50|<50
2022-02-25|Bus|Other|4|1100|800
2022-02-25|Bus|Parramatta|4|<50|<50
2022-02-25|Bus|Strathfield|4|<50|<50
2022-02-25|Bus|Sydney CBD|4|200|200
2022-02-25|Bus|All - NSW|4|1300|1000
2022-02-25|Bus|Chatswood|5|100|<50
2022-02-25|Bus|Macquarie Park|5|<50|100
2022-02-25|Bus|Newcastle and surrounds|5|<50|<50
2022-02-25|Bus|North Sydney|5|<50|<50
2022-02-25|Bus|Other|5|6700|4500
2022-02-25|Bus|Parramatta|5|300|300
2022-02-25|Bus|Strathfield|5|100|<50
2022-02-25|Bus|Sydney CBD|5|600|800
2022-02-25|Bus|Wollongong and surrounds|5|<50|<50
2022-02-25|Bus|All - NSW|5|7800|5700
2022-02-25|Bus|Chatswood|6|200|100
2022-02-25|Bus|Macquarie Park|6|200|200
2022-02-25|Bus|Newcastle and surrounds|6|<50|<50
2022-02-25|Bus|North Sydney|6|100|100
2022-02-25|Bus|Other|6|17300|13600
2022-02-25|Bus|Parramatta|6|700|600
2022-02-25|Bus|Strathfield|6|300|200
2022-02-25|Bus|Sydney CBD|6|1700|2300
2022-02-25|Bus|Wollongong and surrounds|6|<50|100
2022-02-25|Bus|All - NSW|6|20500|17200
2022-02-25|Bus|Chatswood|7|400|400
2022-02-25|Bus|Macquarie Park|7|500|400
2022-02-25|Bus|Newcastle and surrounds|7|<50|100
2022-02-25|Bus|North Sydney|7|400|500
2022-02-25|Bus|Other|7|41000|27500
2022-02-25|Bus|Parramatta|7|1300|1300
2022-02-25|Bus|Strathfield|7|300|300
2022-02-25|Bus|Sydney CBD|7|2300|5100
2022-02-25|Bus|Wollongong and surrounds|7|200|500
2022-02-25|Bus|All - NSW|7|46400|36100
2022-02-25|Bus|Chatswood|8|500|600
2022-02-25|Bus|Macquarie Park|8|500|600
2022-02-25|Bus|Newcastle and surrounds|8|100|100
2022-02-25|Bus|North Sydney|8|600|900
2022-02-25|Bus|Other|8|42500|41700
2022-02-25|Bus|Parramatta|8|1200|1600
2022-02-25|Bus|Strathfield|8|300|300
2022-02-25|Bus|Sydney CBD|8|3100|9800
2022-02-25|Bus|Wollongong and surrounds|8|500|800
2022-02-25|Bus|All - NSW|8|49300|56400
2022-02-25|Bus|Chatswood|9|200|300
2022-02-25|Bus|Macquarie Park|9|300|500
2022-02-25|Bus|Newcastle and surrounds|9|<50|100
2022-02-25|Bus|North Sydney|9|300|400
2022-02-25|Bus|Other|9|23800|24200
2022-02-25|Bus|Parramatta|9|600|900
2022-02-25|Bus|Strathfield|9|200|200
2022-02-25|Bus|Sydney CBD|9|2400|4700
2022-02-25|Bus|Wollongong and surrounds|9|100|200
2022-02-25|Bus|All - NSW|9|27900|31500
2022-02-25|Bus|Chatswood|10|200|300
2022-02-25|Bus|Macquarie Park|10|200|400
2022-02-25|Bus|Newcastle and surrounds|10|100|100
2022-02-25|Bus|North Sydney|10|200|200
2022-02-25|Bus|Other|10|20700|19500
2022-02-25|Bus|Parramatta|10|500|700
2022-02-25|Bus|Strathfield|10|200|100
2022-02-25|Bus|Sydney CBD|10|1600|2700
2022-02-25|Bus|Wollongong and surrounds|10|200|200
2022-02-25|Bus|All - NSW|10|23900|24200
2022-02-25|Bus|Chatswood|11|200|200
2022-02-25|Bus|Macquarie Park|11|200|300
2022-02-25|Bus|Newcastle and surrounds|11|100|100
2022-02-25|Bus|North Sydney|11|100|100
2022-02-25|Bus|Other|11|19200|18700
2022-02-25|Bus|Parramatta|11|600|600
2022-02-25|Bus|Strathfield|11|200|100
